"Regiao";"UF";"Ano";"Transferência";"Valor Consolidado"
"Centro-Oeste";"DF";"2023";"FUNDEB - IPI-EXP";"R$1.514.454,90"
"Centro-Oeste";"DF";"2023";"FUNDEB - IPVA";"R$337.578.127,40"
"Centro-Oeste";"DF";"2023";"FUNDEB - ITCMD";"R$50.935.235,30"
"Centro-Oeste";"DF";"2023";"FUNDEB - ITR";"R$335.653,66"
"Centro-Oeste";"DF";"2024";"FUNDEB - COUN VAAR";"R$33.000.843,81"
"Centro-Oeste";"DF";"2024";"FUNDEB - FPE";"R$256.204.676,65"
"Centro-Oeste";"DF";"2024";"FUNDEB - FPM";"R$85.664.345,09"
"Centro-Oeste";"DF";"2024";"FUNDEB - ICMS";"R$2.372.867.641,60"
"Centro-Oeste";"DF";"2024";"FUNDEB - IPI-EXP";"R$2.545.567,41"
"Centro-Oeste";"DF";"2024";"FUNDEB - IPVA";"R$370.580.096,60"
"Centro-Oeste";"DF";"2024";"FUNDEB - ITCMD";"R$61.498.581,53"
"Centro-Oeste";"DF";"2024";"FUNDEB - ITR";"R$376.159,82"
"Centro-Oeste";"DF";"2025";"FUNDEB - COUN VAAR";"R$16.825.887,60"
"Centro-Oeste";"DF";"2025";"FUNDEB - FPE";"R$280.212.305,10"
"Centro-Oeste";"DF";"2025";"FUNDEB - FPM";"R$74.091.910,43"
"Centro-Oeste";"DF";"2025";"FUNDEB - FUNDEB - FTI";"R$3.976.611,83"
"Centro-Oeste";"DF";"2025";"FUNDEB - ICMS";"R$2.534.553.751,09"
"Centro-Oeste";"DF";"2025";"FUNDEB - IPI-EXP";"R$1.824.117,74"
"Centro-Oeste";"DF";"2025";"FUNDEB - IPVA";"R$397.703.794,38"
"Centro-Oeste";"DF";"2025";"FUNDEB - ITCMD";"R$94.017.570,35"
"Centro-Oeste";"DF";"2025";"FUNDEB - ITR";"R$306.830,83"
"Centro-Oeste";"DF";"2026";"FUNDEB - COUN VAAF";"R$0,00"
"Centro-Oeste";"DF";"2026";"FUNDEB - COUN VAAR";"R$0,00"
"Centro-Oeste";"DF";"2026";"FUNDEB - COUN VAAT";"R$0,00"
"Centro-Oeste";"DF";"2026";"FUNDEB - FPE";"R$197.598.234,59"
"Centro-Oeste";"DF";"2026";"FUNDEB - FPM";"R$52.292.243,43"
"Centro-Oeste";"DF";"2026";"FUNDEB - FUNDEB - FTI";"R$701.755,03"
"Centro-Oeste";"DF";"2026";"FUNDEB - ICMS";"R$1.750.183.013,53"
"Centro-Oeste";"DF";"2026";"FUNDEB - IPI-EXP";"R$1.587.970,35"
"Centro-Oeste";"DF";"2026";"FUNDEB - IPVA";"R$353.956.989,22"
"Centro-Oeste";"DF";"2026";"FUNDEB - ITCMD";"R$36.844.315,82"
"Centro-Oeste";"DF";"2026";"FUNDEB - ITR";"R$31.602,04"
"Centro-Oeste";"GO";"2016";"FUNDEB - FPE";"R$220.582.212,80"
"Centro-Oeste";"GO";"2016";"FUNDEB - FPM";"R$297.476.719,09"
"Centro-Oeste";"GO";"2016";"FUNDEB - ICMS";"R$1.226.376.469,91"
"Centro-Oeste";"GO";"2016";"FUNDEB - IPI-EXP";"R$9.267.897,96"
"Centro-Oeste";"GO";"2016";"FUNDEB - IPVA";"R$117.221.932,38"
"Centro-Oeste";"GO";"2016";"FUNDEB - ITCMD";"R$23.111.606,33"
"Centro-Oeste";"GO";"2016";"FUNDEB - ITR";"R$9.465.435,09"
"Centro-Oeste";"GO";"2016";"FUNDEB - LC 87";"R$2.309.829,24"
"Centro-Oeste";"GO";"2017";"FUNDEB - COUN";"R$0,00"
"Centro-Oeste";"GO";"2017";"FUNDEB - FPE";"R$210.604.115,01"
"Centro-Oeste";"GO";"2017";"FUNDEB - FPM";"R$283.879.791,42"
"Centro-Oeste";"GO";"2017";"FUNDEB - ICMS";"R$1.280.765.904,21"
"Centro-Oeste";"GO";"2017";"FUNDEB - IPI-EXP";"R$11.292.922,70"
"Centro-Oeste";"GO";"2017";"FUNDEB - IPVA";"R$116.274.815,72"
"Centro-Oeste";"GO";"2017";"FUNDEB - ITCMD";"R$25.128.429,48"
"Centro-Oeste";"GO";"2017";"FUNDEB - ITR";"R$10.856.187,80"
"Centro-Oeste";"GO";"2017";"FUNDEB - LC 87";"R$2.308.872,00"
"Centro-Oeste";"GO";"2018";"FUNDEB - COUN";"R$0,00"
"Centro-Oeste";"GO";"2018";"FUNDEB - FPE";"R$219.401.522,94"
"Centro-Oeste";"GO";"2018";"FUNDEB - FPM";"R$293.547.761,23"
"Centro-Oeste";"GO";"2018";"FUNDEB - ICMS";"R$1.260.018.340,71"
"Centro-Oeste";"GO";"2018";"FUNDEB - IPI-EXP";"R$11.172.791,96"
"Centro-Oeste";"GO";"2018";"FUNDEB - IPVA";"R$122.237.266,84"
"Centro-Oeste";"GO";"2018";"FUNDEB - ITCMD";"R$33.261.487,61"
"Centro-Oeste";"GO";"2018";"FUNDEB - ITR";"R$12.025.107,25"
"Centro-Oeste";"GO";"2018";"FUNDEB - LC 87";"R$2.180.328,60"
"Centro-Oeste";"GO";"2019";"FUNDEB - COUN";"R$0,00"
"Centro-Oeste";"GO";"2019";"FUNDEB - FPE";"R$240.491.807,29"
"Centro-Oeste";"GO";"2019";"FUNDEB - FPM";"R$331.042.140,01"
"Centro-Oeste";"GO";"2019";"FUNDEB - ICMS";"R$1.386.303.373,74"
"Centro-Oeste";"GO";"2019";"FUNDEB - IPI-EXP";"R$11.143.779,39"
"Centro-Oeste";"GO";"2019";"FUNDEB - IPVA";"R$136.911.270,95"
"Centro-Oeste";"GO";"2019";"FUNDEB - ITCMD";"R$25.970.753,60"
"Centro-Oeste";"GO";"2019";"FUNDEB - ITR";"R$14.400.970,91"
"Centro-Oeste";"GO";"2019";"FUNDEB - LC 87";"R$0,00"
"Centro-Oeste";"GO";"2020";"FUNDEB - COUN";"R$0,00"
"Centro-Oeste";"GO";"2020";"FUNDEB - FPE";"R$229.502.815,74"
"Centro-Oeste";"GO";"2020";"FUNDEB - FPM";"R$312.562.238,08"
"Centro-Oeste";"GO";"2020";"FUNDEB - ICMS";"R$1.633.867.476,24"
"Centro-Oeste";"GO";"2020";"FUNDEB - IPI-EXP";"R$9.859.983,36"
"Centro-Oeste";"GO";"2020";"FUNDEB - IPVA";"R$141.121.745,92"
"Centro-Oeste";"GO";"2020";"FUNDEB - ITCMD";"R$32.329.719,04"
"Centro-Oeste";"GO";"2020";"FUNDEB - ITR";"R$15.800.212,10"
"Centro-Oeste";"GO";"2020";"FUNDEB - LC 87";"R$0,00"
"Centro-Oeste";"GO";"2021";"FUNDEB - COUN";"R$0,00"
"Centro-Oeste";"GO";"2021";"FUNDEB - FPE";"R$322.238.349,15"
"Centro-Oeste";"GO";"2021";"FUNDEB - FPM";"R$423.712.658,39"
"Centro-Oeste";"GO";"2021";"FUNDEB - ICMS";"R$1.999.786.637,85"
"Centro-Oeste";"GO";"2021";"FUNDEB - IPI-EXP";"R$14.872.104,22"
"Centro-Oeste";"GO";"2021";"FUNDEB - IPVA";"R$159.081.180,53"
"Centro-Oeste";"GO";"2021";"FUNDEB - ITCMD";"R$61.593.171,33"
"Centro-Oeste";"GO";"2021";"FUNDEB - ITR";"R$20.100.055,56"
"Centro-Oeste";"GO";"2021";"FUNDEB - LC 87";"R$0,00"
"Centro-Oeste";"GO";"2022";"FUNDEB - AFE";"R$28.981.795,95"
"Centro-Oeste";"GO";"2022";"FUNDEB - FPE";"R$411.291.064,63"
"Centro-Oeste";"GO";"2022";"FUNDEB - FPM";"R$529.788.773,58"
"Centro-Oeste";"GO";"2022";"FUNDEB - ICMS";"R$2.100.001.721,59"
"Centro-Oeste";"GO";"2022";"FUNDEB - IPI-EXP";"R$13.041.937,25"
"Centro-Oeste";"GO";"2022";"FUNDEB - IPVA";"R$208.432.233,53"
"Centro-Oeste";"GO";"2022";"FUNDEB - ITCMD";"R$76.996.027,71"
"Centro-Oeste";"GO";"2022";"FUNDEB - ITR";"R$26.112.266,03"
"Centro-Oeste";"GO";"2023";"FUNDEB - COUN VAAR";"R$31.934.382,15"
"Centro-Oeste";"GO";"2023";"FUNDEB - FPE";"R$405.797.627,27"
"Centro-Oeste";"GO";"2023";"FUNDEB - FPM";"R$532.997.287,03"
"Centro-Oeste";"GO";"2023";"FUNDEB - ICMS";"R$2.144.826.357,61"
"Centro-Oeste";"GO";"2023";"FUNDEB - IPI-EXP";"R$12.017.575,33"
