ano;esfera;rubrica;valor_reais;fonte;data_extracao
2012;E;Contribuições de Melhoria e Econômicas;985553567.04;CTB-Resumo.xlsx;2026-09-02
2013;E;Contribuições de Melhoria e Econômicas;928186331.42;CTB-Resumo.xlsx;2026-09-02
2014;E;Contribuições de Melhoria e Econômicas;1004955844.15;CTB-Resumo.xlsx;2026-09-02
2015;E;Contribuições de Melhoria e Econômicas;1070558692.13;CTB-Resumo.xlsx;2026-09-02
2000;E;Demais (multas, juros e dívida ativa);2221422948.0;CTB-Resumo.xlsx;2026-09-02
2001;E;Demais (multas, juros e dívida ativa);769809370.68;CTB-Resumo.xlsx;2026-09-02
2002;E;Demais (multas, juros e dívida ativa);2968474594.59;CTB-Resumo.xlsx;2026-09-02
2003;E;Demais (multas, juros e dívida ativa);3319659944.99;CTB-Resumo.xlsx;2026-09-02
2004;E;Demais (multas, juros e dívida ativa);3622045625.09;CTB-Resumo.xlsx;2026-09-02
2005;E;Demais (multas, juros e dívida ativa);4360498238.0;CTB-Resumo.xlsx;2026-09-02
2006;E;Demais (multas, juros e dívida ativa);6089549230.84;CTB-Resumo.xlsx;2026-09-02
2007;E;Demais (multas, juros e dívida ativa);4514740716.88;CTB-Resumo.xlsx;2026-09-02
2008;E;Demais (multas, juros e dívida ativa);5677815346.66;CTB-Resumo.xlsx;2026-09-02
2009;E;Demais (multas, juros e dívida ativa);6104767083.2;CTB-Resumo.xlsx;2026-09-02
2010;E;Demais (multas, juros e dívida ativa);8575030040.08;CTB-Resumo.xlsx;2026-09-02
2011;E;Demais (multas, juros e dívida ativa);8857905461.01;CTB-Resumo.xlsx;2026-09-02
2012;E;Demais (multas, juros e dívida ativa);10673318122.08;CTB-Resumo.xlsx;2026-09-02
2013;E;Demais (multas, juros e dívida ativa);13454940977.18;CTB-Resumo.xlsx;2026-09-02
2014;E;Demais (multas, juros e dívida ativa);12160555270.58;CTB-Resumo.xlsx;2026-09-02
2015;E;Demais (multas, juros e dívida ativa);13227216725.82;CTB-Resumo.xlsx;2026-09-02
2000;M;ISS;6709391896.07;CTB-Resumo.xlsx;2026-09-02
2001;M;ISS;7445930448.84;CTB-Resumo.xlsx;2026-09-02
2002;M;ISS;8495296449.93;CTB-Resumo.xlsx;2026-09-02
2003;M;ISS;9674000259.86;CTB-Resumo.xlsx;2026-09-02
2004;M;ISS;11681605275.1;CTB-Resumo.xlsx;2026-09-02
2005;M;ISS;14049918443.39;CTB-Resumo.xlsx;2026-09-02
2006;M;ISS;16916468680.18;CTB-Resumo.xlsx;2026-09-02
2007;M;ISS;19740562864.66;CTB-Resumo.xlsx;2026-09-02
2008;M;ISS;23821352022.13;CTB-Resumo.xlsx;2026-09-02
2009;M;ISS;26190433288.04;CTB-Resumo.xlsx;2026-09-02
2010;M;ISS;31407240443.99;CTB-Resumo.xlsx;2026-09-02
2011;M;ISS;36656296818.84;CTB-Resumo.xlsx;2026-09-02
2012;M;ISS;42316509592.66;CTB-Resumo.xlsx;2026-09-02
2013;M;ISS;45783504649.34;CTB-Resumo.xlsx;2026-09-02
2014;M;ISS;50493151794.88;CTB-Resumo.xlsx;2026-09-02
2015;M;ISS;54074215310.5;CTB-Resumo.xlsx;2026-09-02
2000;M;IPTU;5558658423.25;CTB-Resumo.xlsx;2026-09-02
2001;M;IPTU;5979395291.47;CTB-Resumo.xlsx;2026-09-02
2002;M;IPTU;6963961194.05;CTB-Resumo.xlsx;2026-09-02
2003;M;IPTU;8091733552.96;CTB-Resumo.xlsx;2026-09-02
2004;M;IPTU;9508653459.9;CTB-Resumo.xlsx;2026-09-02
2005;M;IPTU;9910177490.74;CTB-Resumo.xlsx;2026-09-02
2006;M;IPTU;10870440675.32;CTB-Resumo.xlsx;2026-09-02
2007;M;IPTU;11879156686.15;CTB-Resumo.xlsx;2026-09-02
2008;M;IPTU;12857911024.08;CTB-Resumo.xlsx;2026-09-02
2009;M;IPTU;14184849605.03;CTB-Resumo.xlsx;2026-09-02
2010;M;IPTU;16364693568.25;CTB-Resumo.xlsx;2026-09-02
2011;M;IPTU;18378709162.54;CTB-Resumo.xlsx;2026-09-02
2012;M;IPTU;20246647526.21;CTB-Resumo.xlsx;2026-09-02
2013;M;IPTU;22580857568.78;CTB-Resumo.xlsx;2026-09-02
2014;M;IPTU;25042156666.29;CTB-Resumo.xlsx;2026-09-02
2015;M;IPTU;28085178097.27;CTB-Resumo.xlsx;2026-09-02
2000;M;ITBI;1135922449.14;CTB-Resumo.xlsx;2026-09-02
2001;M;ITBI;1271867615.44;CTB-Resumo.xlsx;2026-09-02
2002;M;ITBI;1528399289.71;CTB-Resumo.xlsx;2026-09-02
2003;M;ITBI;1614784651.48;CTB-Resumo.xlsx;2026-09-02
2004;M;ITBI;1740797578.97;CTB-Resumo.xlsx;2026-09-02
2005;M;ITBI;2035664814.67;CTB-Resumo.xlsx;2026-09-02
2006;M;ITBI;2461484918.18;CTB-Resumo.xlsx;2026-09-02
2007;M;ITBI;3198492296.28;CTB-Resumo.xlsx;2026-09-02
2008;M;ITBI;4023776553.11;CTB-Resumo.xlsx;2026-09-02
2009;M;ITBI;4183557536.17;CTB-Resumo.xlsx;2026-09-02
2010;M;ITBI;5572766021.6;CTB-Resumo.xlsx;2026-09-02
2011;M;ITBI;6870968719.72;CTB-Resumo.xlsx;2026-09-02
2012;M;ITBI;7903937366.74;CTB-Resumo.xlsx;2026-09-02
2013;M;ITBI;9304684636.59;CTB-Resumo.xlsx;2026-09-02
2014;M;ITBI;9934540263.51;CTB-Resumo.xlsx;2026-09-02
2015;M;ITBI;10160812069.32;CTB-Resumo.xlsx;2026-09-02
2000;M;IRRF;1382769805.45;CTB-Resumo.xlsx;2026-09-02
2001;M;IRRF;1668181600.68;CTB-Resumo.xlsx;2026-09-02
2002;M;IRRF;1792162834.95;CTB-Resumo.xlsx;2026-09-02
2003;M;IRRF;2189755411.68;CTB-Resumo.xlsx;2026-09-02
2004;M;IRRF;2419503760.25;CTB-Resumo.xlsx;2026-09-02
2005;M;IRRF;2800097898.04;CTB-Resumo.xlsx;2026-09-02
2006;M;IRRF;3286068949.21;CTB-Resumo.xlsx;2026-09-02
2007;M;IRRF;4032456547.18;CTB-Resumo.xlsx;2026-09-02
2008;M;IRRF;4948681254.06;CTB-Resumo.xlsx;2026-09-02
2009;M;IRRF;4884453200.24;CTB-Resumo.xlsx;2026-09-02
2010;M;IRRF;5587191831.73;CTB-Resumo.xlsx;2026-09-02
2011;M;IRRF;6776698998.85;CTB-Resumo.xlsx;2026-09-02
2012;M;IRRF;8108541658.55;CTB-Resumo.xlsx;2026-09-02
2013;M;IRRF;9259159219.56;CTB-Resumo.xlsx;2026-09-02
2014;M;IRRF;10718653682.4;CTB-Resumo.xlsx;2026-09-02
2015;M;IRRF;12454594761.09;CTB-Resumo.xlsx;2026-09-02
2000;M;TAXAS;2226356837.11;CTB-Resumo.xlsx;2026-09-02
2001;M;TAXAS;2335068395.94;CTB-Resumo.xlsx;2026-09-02
2002;M;TAXAS;2496493340.61;CTB-Resumo.xlsx;2026-09-02
2003;M;TAXAS;2750288643.66;CTB-Resumo.xlsx;2026-09-02
2004;M;TAXAS;2729510893.04;CTB-Resumo.xlsx;2026-09-02
2005;M;TAXAS;2895136621.57;CTB-Resumo.xlsx;2026-09-02
2006;M;TAXAS;3007859376.23;CTB-Resumo.xlsx;2026-09-02
2007;M;TAXAS;3196988878.4;CTB-Resumo.xlsx;2026-09-02
2008;M;TAXAS;3491612732.68;CTB-Resumo.xlsx;2026-09-02
2009;M;TAXAS;3862601296.77;CTB-Resumo.xlsx;2026-09-02
2010;M;TAXAS;4337558354.26;CTB-Resumo.xlsx;2026-09-02
2011;M;TAXAS;4830637944.39;CTB-Resumo.xlsx;2026-09-02
2012;M;TAXAS;5320119824.21;CTB-Resumo.xlsx;2026-09-02
2013;M;TAXAS;5898624657.47;CTB-Resumo.xlsx;2026-09-02
2014;M;TAXAS;6461356108.83;CTB-Resumo.xlsx;2026-09-02
2015;M;TAXAS;7187802809.17;CTB-Resumo.xlsx;2026-09-02
2000;M;Previd. Municipal;822764267.62;CTB-Resumo.xlsx;2026-09-02
2001;M;Previd. Municipal;1035900960.86;CTB-Resumo.xlsx;2026-09-02
2002;M;Previd. Municipal;2086350934.57;CTB-Resumo.xlsx;2026-09-02
2003;M;Previd. Municipal;2699881725.75;CTB-Resumo.xlsx;2026-09-02
2004;M;Previd. Municipal;3394095789.31;CTB-Resumo.xlsx;2026-09-02
2005;M;Previd. Municipal;3185620504.75;CTB-Resumo.xlsx;2026-09-02
2006;M;Previd. Municipal;3477949333.69;CTB-Resumo.xlsx;2026-09-02
2007;M;Previd. Municipal;4449850546.17;CTB-Resumo.xlsx;2026-09-02
2008;M;Previd. Municipal;4566162814.13;CTB-Resumo.xlsx;2026-09-02
2009;M;Previd. Municipal;5162157781.29;CTB-Resumo.xlsx;2026-09-02
2010;M;Previd. Municipal;6035828082.95;CTB-Resumo.xlsx;2026-09-02
2011;M;Previd. Municipal;7211578379.39;CTB-Resumo.xlsx;2026-09-02
2012;M;Previd. Municipal;7865626915.16;CTB-Resumo.xlsx;2026-09-02
2013;M;Previd. Municipal;8507164748.91;CTB-Resumo.xlsx;2026-09-02
2014;M;Previd. Municipal;9274100127.97;CTB-Resumo.xlsx;2026-09-02
2015;M;Previd. Municipal;10698586849.88;CTB-Resumo.xlsx;2026-09-02
2000;M;Contribuições de Melhoria e Econômicas;448547578.08;CTB-Resumo.xlsx;2026-09-02
2001;M;Contribuições de Melhoria e Econômicas;548343759.22;CTB-Resumo.xlsx;2026-09-02
2002;M;Contribuições de Melhoria e Econômicas;403267163.47;CTB-Resumo.xlsx;2026-09-02
2003;M;Contribuições de Melhoria e Econômicas;1582932290.71;CTB-Resumo.xlsx;2026-09-02
2004;M;Contribuições de Melhoria e Econômicas;2624919503.68;CTB-Resumo.xlsx;2026-09-02
2005;M;Contribuições de Melhoria e Econômicas;1956598707.99;CTB-Resumo.xlsx;2026-09-02
2006;M;Contribuições de Melhoria e Econômicas;2268238186.34;CTB-Resumo.xlsx;2026-09-02
2007;M;Contribuições de Melhoria e Econômicas;2549898818.32;CTB-Resumo.xlsx;2026-09-02
2008;M;Contribuições de Melhoria e Econômicas;2658732137.12;CTB-Resumo.xlsx;2026-09-02
2009;M;Contribuições de Melhoria e Econômicas;2889708202.04;CTB-Resumo.xlsx;2026-09-02
2010;M;Contribuições de Melhoria e Econômicas;3274268330.41;CTB-Resumo.xlsx;2026-09-02
2011;M;Contribuições de Melhoria e Econômicas;3389953747.22;CTB-Resumo.xlsx;2026-09-02
2012;M;Contribuições de Melhoria e Econômicas;3621089955.38;CTB-Resumo.xlsx;2026-09-02
2013;M;Contribuições de Melhoria e Econômicas;4261613713.88;CTB-Resumo.xlsx;2026-09-02
2014;M;Contribuições de Melhoria e Econômicas;4727820062.39;CTB-Resumo.xlsx;2026-09-02
2015;M;Contribuições de Melhoria e Econômicas;6346209277.31;CTB-Resumo.xlsx;2026-09-02
2000;M;Demais (multas, juros e dívida ativa);2575980990.81;CTB-Resumo.xlsx;2026-09-02
2001;M;Demais (multas, juros e dívida ativa);2779060907.73;CTB-Resumo.xlsx;2026-09-02
2002;M;Demais (multas, juros e dívida ativa);3322974793.9;CTB-Resumo.xlsx;2026-09-02
2003;M;Demais (multas, juros e dívida ativa);3824952721.05;CTB-Resumo.xlsx;2026-09-02
2004;M;Demais (multas, juros e dívida ativa);4434553942.98;CTB-Resumo.xlsx;2026-09-02
2005;M;Demais (multas, juros e dívida ativa);4768961433.67;CTB-Resumo.xlsx;2026-09-02
2006;M;Demais (multas, juros e dívida ativa);5596470948.14;CTB-Resumo.xlsx;2026-09-02
2007;M;Demais (multas, juros e dívida ativa);6297932347.07;CTB-Resumo.xlsx;2026-09-02
2008;M;Demais (multas, juros e dívida ativa);6799817770.88;CTB-Resumo.xlsx;2026-09-02
2009;M;Demais (multas, juros e dívida ativa);6799738689.89;CTB-Resumo.xlsx;2026-09-02
2010;M;Demais (multas, juros e dívida ativa);7752264797.85;CTB-Resumo.xlsx;2026-09-02
2011;M;Demais (multas, juros e dívida ativa);9273228329.61;CTB-Resumo.xlsx;2026-09-02
2012;M;Demais (multas, juros e dívida ativa);9817575264.91;CTB-Resumo.xlsx;2026-09-02
2013;M;Demais (multas, juros e dívida ativa);11130269211.55;CTB-Resumo.xlsx;2026-09-02
2014;M;Demais (multas, juros e dívida ativa);13057884626.99;CTB-Resumo.xlsx;2026-09-02
2015;M;Demais (multas, juros e dívida ativa);13035138078.59;CTB-Resumo.xlsx;2026-09-02
