ano;bloco_origem;bloco_destino;modalidade;valor_reais;fonte;data_extracao
2001;U;E;FUNDEF/FUNDEB;3072436590.37;CTB-Resumo.xlsx;2026-09-02
2002;U;E;FUNDEF/FUNDEB;3541816546.91;CTB-Resumo.xlsx;2026-09-02
2003;U;E;FUNDEF/FUNDEB;3505667047.71;CTB-Resumo.xlsx;2026-09-02
2004;U;E;FUNDEF/FUNDEB;3620234519.27;CTB-Resumo.xlsx;2026-09-02
2005;U;E;FUNDEF/FUNDEB;4262316409.32;CTB-Resumo.xlsx;2026-09-02
2006;U;E;FUNDEF/FUNDEB;4386847194.58;CTB-Resumo.xlsx;2026-09-02
2007;U;E;FUNDEF/FUNDEB;6524613444.67;CTB-Resumo.xlsx;2026-09-02
2008;U;E;FUNDEF/FUNDEB;7704293186.18;CTB-Resumo.xlsx;2026-09-02
2009;U;E;FUNDEF/FUNDEB;10681701154.89;CTB-Resumo.xlsx;2026-09-02
2010;U;E;FUNDEF/FUNDEB;11277406968.31;CTB-Resumo.xlsx;2026-09-02
2011;U;E;FUNDEF/FUNDEB;14507745195.92;CTB-Resumo.xlsx;2026-09-02
2012;U;E;FUNDEF/FUNDEB;12160886710.68;CTB-Resumo.xlsx;2026-09-02
2013;U;E;FUNDEF/FUNDEB;15250968122.28;CTB-Resumo.xlsx;2026-09-02
2014;U;E;FUNDEF/FUNDEB;16455501477.03;CTB-Resumo.xlsx;2026-09-02
2015;U;E;FUNDEF/FUNDEB;17361863613.64;CTB-Resumo.xlsx;2026-09-02
2000;U;E;SAL.EDUCAÇÃO;1819217342.44;CTB-Resumo.xlsx;2026-09-02
2001;U;E;SAL.EDUCAÇÃO;2045590909.09;CTB-Resumo.xlsx;2026-09-02
2002;U;E;SAL.EDUCAÇÃO;2405117018.85;CTB-Resumo.xlsx;2026-09-02
2003;U;E;SAL.EDUCAÇÃO;2655754012.89;CTB-Resumo.xlsx;2026-09-02
2004;U;E;SAL.EDUCAÇÃO;3201591180.4;CTB-Resumo.xlsx;2026-09-02
2005;U;E;SAL.EDUCAÇÃO;3841099871.61;CTB-Resumo.xlsx;2026-09-02
2006;U;E;SAL.EDUCAÇÃO;4617304978.51;CTB-Resumo.xlsx;2026-09-02
2007;U;E;SAL.EDUCAÇÃO;4725700365.23;CTB-Resumo.xlsx;2026-09-02
2008;U;E;SAL.EDUCAÇÃO;5850908186.23;CTB-Resumo.xlsx;2026-09-02
2009;U;E;SAL.EDUCAÇÃO;6392621909.68;CTB-Resumo.xlsx;2026-09-02
2010;U;E;SAL.EDUCAÇÃO;7366132718.03;CTB-Resumo.xlsx;2026-09-02
2011;U;E;SAL.EDUCAÇÃO;8743587988.41;CTB-Resumo.xlsx;2026-09-02
2012;U;E;SAL.EDUCAÇÃO;9849672640.03;CTB-Resumo.xlsx;2026-09-02
2013;U;E;SAL.EDUCAÇÃO;11040353124.35;CTB-Resumo.xlsx;2026-09-02
2014;U;E;SAL.EDUCAÇÃO;12183346895.35;CTB-Resumo.xlsx;2026-09-02
2015;U;E;SAL.EDUCAÇÃO;12692424158.29;CTB-Resumo.xlsx;2026-09-02
2004;U;E;FEX;671634731.25;CTB-Resumo.xlsx;2026-09-02
2005;U;E;FEX;1018769006.25;CTB-Resumo.xlsx;2026-09-02
2006;U;E;FEX;1797023236.02;CTB-Resumo.xlsx;2026-09-02
2007;U;E;FEX;1454800388.53;CTB-Resumo.xlsx;2026-09-02
2008;U;E;FEX;2439971080.62;CTB-Resumo.xlsx;2026-09-02
2009;U;E;FEX;1462500000.0;CTB-Resumo.xlsx;2026-09-02
2010;U;E;FEX;1462500000.07;CTB-Resumo.xlsx;2026-09-02
2011;U;E;FEX;1462500000.0;CTB-Resumo.xlsx;2026-09-02
2012;U;E;FEX;1462500000.0;CTB-Resumo.xlsx;2026-09-02
2014;U;E;FEX;1462500000.0;CTB-Resumo.xlsx;2026-09-02
2015;U;E;FEX;1462500000.16;CTB-Resumo.xlsx;2026-09-02
2004;U;E;CIDE;835862042.67;CTB-Resumo.xlsx;2026-09-02
2005;U;E;CIDE;1338102239.97;CTB-Resumo.xlsx;2026-09-02
2006;U;E;CIDE;1342016629.04;CTB-Resumo.xlsx;2026-09-02
2007;U;E;CIDE;1394173791.53;CTB-Resumo.xlsx;2026-09-02
2008;U;E;CIDE;1189775185.76;CTB-Resumo.xlsx;2026-09-02
2009;U;E;CIDE;725233073.44;CTB-Resumo.xlsx;2026-09-02
2010;U;E;CIDE;1338148351.78;CTB-Resumo.xlsx;2026-09-02
2011;U;E;CIDE;1589745039.3;CTB-Resumo.xlsx;2026-09-02
2012;U;E;CIDE;842360482.69;CTB-Resumo.xlsx;2026-09-02
2013;U;E;CIDE;43190335.17;CTB-Resumo.xlsx;2026-09-02
2014;U;E;CIDE;87468743.3;CTB-Resumo.xlsx;2026-09-02
2015;U;E;CIDE;337561199.59;CTB-Resumo.xlsx;2026-09-02
2010;U;E;AFE;800000000.0;CTB-Resumo.xlsx;2026-09-02
2000;U;E;ROYALTIES E PARTICIPAÇÕES;1340815410.04;CTB-Resumo.xlsx;2026-09-02
2001;U;E;ROYALTIES E PARTICIPAÇÕES;1848431360.88;CTB-Resumo.xlsx;2026-09-02
2002;U;E;ROYALTIES E PARTICIPAÇÕES;2504430964.74;CTB-Resumo.xlsx;2026-09-02
2003;U;E;ROYALTIES E PARTICIPAÇÕES;3965427977.91;CTB-Resumo.xlsx;2026-09-02
2004;U;E;ROYALTIES E PARTICIPAÇÕES;4316237010.97;CTB-Resumo.xlsx;2026-09-02
2005;U;E;ROYALTIES E PARTICIPAÇÕES;5416921728.63;CTB-Resumo.xlsx;2026-09-02
2006;U;E;ROYALTIES E PARTICIPAÇÕES;6602578882.7;CTB-Resumo.xlsx;2026-09-02
2007;U;E;ROYALTIES E PARTICIPAÇÕES;5903146036.19;CTB-Resumo.xlsx;2026-09-02
2008;U;E;ROYALTIES E PARTICIPAÇÕES;8718672852.68;CTB-Resumo.xlsx;2026-09-02
2009;U;E;ROYALTIES E PARTICIPAÇÕES;6576957296.36;CTB-Resumo.xlsx;2026-09-02
2010;U;E;ROYALTIES E PARTICIPAÇÕES;8384858931.96;CTB-Resumo.xlsx;2026-09-02
2011;U;E;ROYALTIES E PARTICIPAÇÕES;9720223152.03;CTB-Resumo.xlsx;2026-09-02
2012;U;E;ROYALTIES E PARTICIPAÇÕES;11850085890.22;CTB-Resumo.xlsx;2026-09-02
2013;U;E;ROYALTIES E PARTICIPAÇÕES;11899205625.9;CTB-Resumo.xlsx;2026-09-02
2014;U;E;ROYALTIES E PARTICIPAÇÕES;13120187768.12;CTB-Resumo.xlsx;2026-09-02
2015;U;E;ROYALTIES E PARTICIPAÇÕES;9316424916.09;CTB-Resumo.xlsx;2026-09-02
2000;U;M;FPM;12816400875.72;CTB-Resumo.xlsx;2026-09-02
2001;U;M;FPM;15023859591.2;CTB-Resumo.xlsx;2026-09-02
2002;U;M;FPM;18594706469.17;CTB-Resumo.xlsx;2026-09-02
2003;U;M;FPM;19342890965.63;CTB-Resumo.xlsx;2026-09-02
2004;U;M;FPM;21321985259.98;CTB-Resumo.xlsx;2026-09-02
2005;U;M;FPM;26675875945.32;CTB-Resumo.xlsx;2026-09-02
2006;U;M;FPM;29502772204.0;CTB-Resumo.xlsx;2026-09-02
2007;U;M;FPM;33934881729.93;CTB-Resumo.xlsx;2026-09-02
